"Index URL



",Document URL,Document date,Document title,Document type,Document Keywords,,
http://www.justice.gov/atr/cases/agarwal.htm,http://www.justice.gov/atr/cases/f203200/203227.htm,3/8/2004,Plea Agreement,Plea Agreements / Rule 11 Memoranda,antitrust,,
http://www.justice.gov/atr/cases/agarwal.htm,http://www.justice.gov/atr/cases/f203200/203226.htm,3/8/2004,Information,Informations,antitrust,,
http://www.justice.gov/atr/cases/dir22.htm,http://www.justice.gov/atr/cases/f1300/1343.htm,10/10/1997,Stipulation and Order,Stipulations - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/dir22.htm,http://www.justice.gov/atr/cases/f1300/1344.htm,10/9/1997,Plaintiff's Certificate of Compliance with the Provisions of the Antitrust Procedures and Penalties Act,Certificates of Compliance with APPA,antitrust,,
http://www.justice.gov/atr/cases/dir22.htm,http://www.justice.gov/atr/cases/f1300/1342.htm,10/9/1997,Motion of the United States for Entry of Stipulation and Order,Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/dir22.htm,http://www.justice.gov/atr/cases/f1300/1341.htm,7/18/1997,Competitive Impact Statement,Competitive Impact Statement,antitrust,,
http://www.justice.gov/atr/cases/dir22.htm,http://www.justice.gov/atr/cases/f1300/1345.htm,7/18/1997,Civil Complaint for relief for Violation of 15 U.S.C. Section 1,Complaints,antitrust,,
http://www.justice.gov/atr/cases/dir23.htm,http://www.justice.gov/atr/cases/f205700/205799.htm,9/23/2004,Settlement Agreement and Order,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/dir23.htm,http://www.justice.gov/atr/cases/f205100/205198.htm,8/6/2004,"Settlement Agreement And Order, Supplemental to Civil Action No. 92-2854",Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/dir23.htm,http://www.justice.gov/atr/cases/f204900/204943.htm,8/6/2004,"Petition of the United States for an Order to Show Cause Why Respondent American Airlines, Inc. Should Not be Found in Civil Contempt",Motions and Memoranda - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/dir23.htm,http://www.justice.gov/atr/cases/f204900/204944.htm,8/6/2004,Stipulation,Stipulations - Miscellaneous,antitrust,,
http://www.justice.gov/atr/cases/dir23.htm,http://www.justice.gov/atr/cases/f4800/4800.htm,3/17/1994,Competitive Impact Statement,Competitive Impact Statement,antitrust,,
http://www.justice.gov/atr/cases/dir23.htm,http://www.justice.gov/atr/cases/f4800/4801.pdf,8/10/1994,Order and Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/dir23.htm,http://www.justice.gov/atr/cases/f4700/4797.htm,12/21/1992,Competitive Impact Statement,Competitive Impact Statement,antitrust,,
http://www.justice.gov/atr/cases/dir23.htm,http://www.justice.gov/atr/cases/f4700/4798.htm,11/1/1993,Order and Opinion,Court Opinions,antitrust,,
http://www.justice.gov/atr/cases/dir23.htm,http://www.justice.gov/atr/cases/f4700/4799.pdf,11/1/1993,Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/dir23.htm,http://www.justice.gov/atr/cases/f4700/4796.htm,12/21/1992,Complaint,Complaints,antitrust,,
http://www.justice.gov/atr/cases/airvan.htm,http://www.justice.gov/atr/cases/f225200/225297.htm,7/31/2007,Plea Agreement,Plea Agreements / Rule 11 Memoranda,antitrust,,
http://www.justice.gov/atr/cases/airvan.htm,http://www.justice.gov/atr/cases/f225300/225389.htm,7/31/2007,Information,Informations,antitrust,,
http://www.justice.gov/atr/cases/aisan.html,http://www.justice.gov/atr/cases/f304200/304204.pdf,3/5/2014,Plea Agreement,Plea Agreements / Rule 11 Memoranda,antitrust,,
http://www.justice.gov/atr/cases/aisan.html,http://www.justice.gov/atr/cases/f303500/303523.pdf,2/3/2014,Information,Informations,antitrust,,
http://www.justice.gov/atr/cases/aisinseiki.html,http://www.justice.gov/atr/cases/f309900/309914.pdf,11/13/2014,Information,Informations,antitrust,,
http://www.justice.gov/atr/cases/indx332.htm,http://www.justice.gov/atr/cases/f9300/9301.htm,8/27/2001,Information,Informations,antitrust,,
http://www.justice.gov/atr/cases/ajinom0.htm,http://www.justice.gov/atr/cases/f0900/0918.htm,8/27/1996,Information,Informations,antitrust,,
http://www.justice.gov/atr/cases/indx278.htm,http://www.justice.gov/atr/cases/f11800/11809.htm,4/30/2001,Final Judgment,Final Judgments + Proposed Final Judgments,antitrust,,
http://www.justice.gov/atr/cases/indx278.htm,http://www.justice.gov/atr/cases/f7400/7454.htm,2/7/2001,Competitive Impact Statement,Competitive Impact Statement,antitrust,,
